donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,trabajo_de,anos_de_experiencia,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,tengo_edad,me_identifico_genero,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,500000,Developer,8,Amazon Web Services,"CSS, HTML, Javascript, TypeScript","Angular, Next.js, React.js",MongoDB,"Cypress, Jest, Postman, Selenium",32,Mujer Cis,Senior
Tucumán,Full-Time,Contractor,2000000,Developer,3,Ninguna de las anteriores,"Kotlin, PHP, Python",Ninguno de los anteriores,MySQL,Postman,31,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,4800000,Architect,17,"Amazon Web Services, Docker, Kubernetes","Bash/Shell, CSS, HTML, Javascript, SQL, TypeScript","HTMX, Next.js, Node.js, React.js","Amazon DynamoDB, Amazon RDS/Aurora, PostgreSQL","Cypress, Jest, Mocha",38,Hombre Cis,Senior
Entre Ríos,Part-Time,Freelance,4500000,SysAdmin / DevOps / SRE,20,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Windows Server","HTML, Java, Javascript, SQL, TypeScript","jQuery, Node.js, WordPress","MariaDB, MongoDB, MySQL, PostgreSQL",Postman,46,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,3200000,Developer,6,"Amazon Web Services, Docker, Linux","CSS, HTML, Javascript, PHP, SQL, TypeScript","Laravel, React.js","MySQL, PostgreSQL","PHPUnit, Pest",35,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,1207000,QA / Tester,3,"Firebase, Google Cloud Platform, Unity",".NET, C#, SQL",".NET Core, Ninguno de los anteriores",Google Cloud Storage,Ninguna de las anteriores,23,Hombre Cis,Semi-Senior
Salta,Full-Time,Contractor,1600000,Data Engineer,2,Amazon Web Services,"Javascript, Python, SQL, TypeScript",Ninguno de los anteriores,MongoDB,Test Complete,27,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1729000,SysAdmin / DevOps / SRE,10,"Docker, IBM Cloud / Watson, Linux, Windows Server","Bash/Shell, Python, SQL",Flask,"Cassandra, ElasticSearch, PostgreSQL",Ninguna de las anteriores,31,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,7700000,Developer,15,"Amazon Web Services, Azure","Javascript, TypeScript","Next.js, Node.js, React.js",MongoDB,"Cypress, Postman",36,Prefiero no decir,Senior
Córdoba,Full-Time,Staff (planta permanente),2000000,Business Analyst,10,Azure,Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguna de las anteriores,39,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6600000,Manager / Director,24,"Amazon Web Services, Docker","Python, SQL",Laravel,PostgreSQL,Ninguna de las anteriores,46,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),1200000,Finance,5,"SAP, Salesforce",Swift,SAP,MySQL,.,29,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1357395,Developer,20,"Amazon Web Services, Azure, Docker, Serverless","Javascript, Python, TypeScript","Node.js, React.js, Spark","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, MySQL, PostgreSQL",Jest,50,Hombre Cis,Senior
Tucumán,Full-Time,Staff (planta permanente),1450000,Manager / Director,10,"Amazon Web Services, Google Cloud Platform, Linux, VMWare, Windows Server","Bash/Shell, C++, HTML, Java, Javascript, SQL, VBA",".NET Core, HTMX, WordPress","Google Cloud Storage, MySQL, SQLite",Ninguna de las anteriores,48,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),2750000,QA / Tester,21,"Docker, Linux","HTML, Javascript, PHP, Python","Bootstrap, jQuery","MySQL, Percona Server","PHPUnit, Postman, Selenium",45,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),3300000,Developer,5,"Docker, Linux","Java, SQL, TypeScript","Node.js, React.js, Spring","Google Cloud Storage, MySQL, Redis, SQLite","Jest, JUnit, Postman",23,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2000000,Developer,4,"Docker, Linux",Python,"Django, Flask","MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,39,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000,Manager / Director,7,Ninguna de las anteriores,"Python, R, SQL",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,32,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6344806,Infosec,17,"Amazon Web Services, Kubernetes, Linux","Bash/Shell, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,40,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),350000,Developer,3,"Linux, SAP",Java,"SAP, Spring","HANA, MySQL",JUnit,28,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),2000000,Manager / Director,15,Ninguna de las anteriores,"Python, R, SQL",Ninguno de los anteriores,"Google Cloud Storage, MySQL",Ninguna de las anteriores,43,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),2700000,Developer,4,"Docker, Kubernetes, Linux, OpenShift","Bash/Shell, Javascript, Python, SQL","FastApi, SQLAlchemy, celery","ElasticSearch, PostgreSQL, Redis","Postman, Behave, pytest",41,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2970000,Architect,9,"Amazon Web Services, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,39,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),967000,Developer,3,Linux,"CSS, HTML, Javascript, TypeScript","Node.js, React.js",Ninguna de las anteriores,Jest,34,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,7100000,Technical Leader,28,"Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Serverless",Python,FastAPI,PostgreSQL,pytest,49,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),2980000,Scrum Master,6,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,46,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000,Technical Leader,15,"Amazon Web Services, Azure, Google Cloud Platform, Linux, Serverless, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,40,Hombre Cis,Senior
San Luis,Full-Time,Contractor,1100000,Technical Leader,4,"Ninguna de las anteriores, ",SQL,Ninguno de los anteriores,"MySQL, Oracle, SQLite",Ninguna de las anteriores,24,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3607181,Developer,3,"Amazon Web Services, Docker, Kubernetes, Serverless","Java, Kotlin, Python, Scala, SQL","Hadoop, Spark, Spring","MySQL, PostgreSQL",Ninguna de las anteriores,26,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,6953100,Developer,12,"Amazon Web Services, Docker, Google Cloud Platform, Serverless","Javascript, TypeScript",Node.js,"Amazon DynamoDB, ElasticSearch, MongoDB","Jest, Ghost Inspector",33,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),2222435,Developer,4,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Serverless","Bash/Shell, CSS, Dart, Go, Groovy, HTML, Java, Javascript, Kotlin, Scala, SQL, TypeScript","Akka, Bootstrap, Flutter, Hibernate, Node.js, React.js, Spring, TensorFlow","MySQL, Redis","Cypress, JUnit, Postman",31,Hombre Cis,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),4000000,Developer,10,Linux,"C, C++, Java, Javascript","Bun, Next.js, Node.js, React.js","MariaDB, Microsoft SQL Server, MySQL, PostgreSQL, SQLite",Cypress,40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2845000,Manager / Director,14,"Azure, Google Cloud Platform",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,39,Mujer Cis,Senior
Buenos Aires,Part-Time,Contractor,2000000,Data Scientist,15,"Docker, Google Cloud Platform, Linux","Bash/Shell, Python","Flask, TensorFlow, Torch, Gradio",Ninguna de las anteriores,Ninguna de las anteriores,40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2631000,Developer,5,"Firebase, Google Cloud Platform, Linux","Bash/Shell, HTML, Kotlin, TypeScript",Next.js,Ninguna de las anteriores,"JUnit, Postman",23,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000,SysAdmin / DevOps / SRE,5,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, Windows Server","Bash/Shell, SQL",Ninguno de los anteriores,"Amazon RDS/Aurora, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,34,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),9152000,Technical Leader,16,"Amazon Web Services, Docker, Linux","Bash/Shell, CSS, HTML, Javascript, Ruby, SQL","Bootstrap, jQuery, Node.js, Rails, React.js","Amazon RDS/Aurora, MongoDB, MySQL, Redis","Cypress, RSpec",38,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),300000,SysAdmin / DevOps / SRE,18,Linux,"Bash/Shell, Perl, Python",Hadoop,"ElasticSearch, MariaDB, MySQL, Percona Server, PostgreSQL",Ninguna de las anteriores,46,Hombre Cis,Senior
Chaco,Full-Time,Staff (planta permanente),961119,Finance,2,"Amazon Web Services, Azure, Google Cloud Platform, VMWare",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,29,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000,Developer,5,OpenStack,"HTML, Javascript, TypeScript","Next.js, Node.js, React.js",Google Cloud Storage,Jest,28,Mujer Cis,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),2280000,Developer,4,"Amazon Web Services, Docker, Google Cloud Platform, Serverless","Go, Python","Django, Flask","Amazon DynamoDB, MongoDB, MySQL","Mocha, Postman",32,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),2156000,Developer,9,"Amazon Web Services, Docker, Kubernetes, Linux, OpenShift, SAP","HTML, Java, Javascript, SQL, TypeScript","Hibernate, Next.js, React.js",PostgreSQL,"Cucumber, Postman, RSpec, Selenium",32,Mujer Cis,Senior
Mendoza,Full-Time,Contractor,5100000,Developer,6,"Google Cloud Platform, Linux, Serverless","Bash/Shell, Javascript, TypeScript","Node.js, Vue.js",Google Cloud Storage,Jest,34,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,8500000,Infosec,14,"Amazon Web Services, Docker","Java, Javascript, Kotlin, TypeScript","Angular, Bootstrap, Next.js, Node.js, React.js, Spring, Symfony, Vue.js","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MongoDB, MySQL, PostgreSQL","Selenium, SoapUI",43,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000,SysAdmin / DevOps / SRE,4,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Go, Java, Python","Django, Flask","ElasticSearch, MySQL",Ninguna de las anteriores,25,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,6000000,Developer,12,"Amazon Web Services, Azure, Docker, Kubernetes",".NET, C#, Javascript, Python, SQL",".NET Core, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle, Redis, SQLite","NUnit, Postman, Xunit",36,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2613000,SysAdmin / DevOps / SRE,4,"Docker, Kubernetes, Linux","Groovy, Javascript, Python, SQL",Ninguno de los anteriores,"MongoDB, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,27,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3200000,Manager / Director,26,"Amazon Web Services, Azure, Google Cloud Platform, Mainframe, OpenShift, SAP, VMWare","C#, COBOL, Java, Javascript, SQL","Angular, Bootstrap, Hibernate, jQuery, SAP Hana","IBM Db2, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Oracle, Teradata",Tosca,51,Hombre Cis,Senior
Corrientes,Part-Time,Freelance,600000,HelpDesk,3,Linux,"CSS, HTML, Javascript, PHP, Python, SQL","Django, Drupal, Flask, jQuery, Laravel, Node.js, React.js, Vue.js","MariaDB, MongoDB, MySQL",Ninguna de las anteriores,45,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,7000000,SysAdmin / DevOps / SRE,15,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,38,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2268145,Manager / Director,15,"Amazon Web Services, Docker, Kubernetes, Linux, OpenStack",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4600000,Sales / Pre-Sales,20,"IBM Cloud / Watson, Linux, OpenShift, Productos de seguridad en general ",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,40,Hombre Cis,Senior
Córdoba,Full-Time,Contractor,4000000,Developer,10,Ninguna de las anteriores,"CSS, HTML, Javascript, Ruby, SQL, TypeScript","Bootstrap, Next.js, Node.js, Rails, React.js, Tailwind",PostgreSQL,RSpec,32,Hombre Cis,Senior
Tucumán,Full-Time,Staff (planta permanente),2565568,Developer,5,"Arduino o similar, Docker, Google Cloud Platform, Linux, Microcontroladores","Arduino, C++, C#, Java, Javascript, Python, SQL","React.js, Spark, TensorFlow, Torch, ROS",Google Cloud Storage,"Jest, JUnit",26,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,5800000,BI Analyst / Data Analyst,5,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Next.js, React.js",MongoDB,Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,9000000,Manager / Director,16,Amazon Web Services,"PHP, Python","React.js, Vue.js","Amazon DynamoDB, PostgreSQL",Ninguna de las anteriores,40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1875300,Scrum Master,5,"Amazon Web Services, Azure",".NET, C#, Javascript, SQL",".NET Core, Node.js, Vue.js","Amazon RDS/Aurora, MySQL, PostgreSQL",Ninguna de las anteriores,41,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000,BI Analyst / Data Analyst,10,"Azure, Google Cloud Platform, Mainframe, VMWare, Windows Server","HTML, Javascript, SQL",Bootstrap,"Microsoft SQL Server, MySQL, Oracle",TFS,38,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3200000,Developer,5,"Amazon Web Services, Docker, Linux","CSS, HTML, Javascript, Python, SQL","Django, React.js",MySQL,"Cypress, Jest, Postman",39,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3465000,Sales / Pre-Sales,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,31,Hombre Cis,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),2328011,Manager / Director,17,Google Cloud Platform,SQL,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,37,Prefiero no decir,Senior
Córdoba,Full-Time,Contractor,488000,Developer,2,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP","Bootstrap, jQuery",PostgreSQL,Ninguna de las anteriores,25,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000,Developer,5,"Amazon Web Services, Docker, Google Cloud Platform, Serverless","Go, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, ElasticSearch, Google Cloud Storage, Bigquery",Ninguna de las anteriores,31,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3671000,Artificial Intelligence Engineer,13,"Amazon Web Services, Docker, Kubernetes, Linux","Java, Python, Scala",Spark,ElasticSearch,Ninguna de las anteriores,34,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,SysAdmin / DevOps / SRE,9,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Linux, Serverless, VMWare, Windows Server","Go, Java, Javascript, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,32,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,9320000,Developer,8,"Amazon Web Services, Docker, Serverless","Dart, Python","Flutter, TensorFlow",Amazon DynamoDB,"Pytest, Flutter test",30,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),4560000,Technical Leader,18,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Java, Python, SQL","Hibernate, Spring","Amazon DynamoDB, Amazon RDS/Aurora, Microsoft SQL Server, Redis","JUnit, Postman",42,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000,Technical Leader,20,"Docker, IBM Cloud / Watson, Kubernetes, Linux, OpenShift, Serverless","Bash/Shell, C++, CSS, Go, HTML, Javascript, Python","Bootstrap, Django, Flask, Next.js, Node.js, React.js","ElasticSearch, MariaDB, MySQL, Redis, SQLite","Jest, Mocha, Selenium",44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000,Developer,3,Amazon Web Services,"HTML, Javascript, TypeScript","jQuery, Node.js, React.js",Amazon DynamoDB,Ninguna de las anteriores,26,Hombre Cis,Semi-Senior
Misiones,Full-Time,Contractor,1500000,QA / Tester,2,"Azure, Windows Server",SQL,Ninguno de los anteriores,Microsoft SQL Server,Postman,28,Hombre Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),3200000,Architect,16,"Azure, Docker, Kubernetes, Linux, Windows Server",".NET, C#, SQL",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server","NUnit, Xunit",37,Hombre Cis,Senior
Chubut,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4556000,Developer,4,"Amazon Web Services, Docker, Serverless",Javascript,Node.js,"Amazon DynamoDB, PostgreSQL",Postman,24,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4312000,Data Scientist,4,"Databricks, Snowflake","Python, SQL","Spark, Torch",Snowflake,Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3000000,SysAdmin / DevOps / SRE,3,"Amazon Web Services, Azure, Docker, Kubernetes, Linux",Python,Ninguno de los anteriores,MongoDB,Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),499275,Developer,5,Linux,"CSS, HTML, Javascript, ",Nuxt.js,Ninguna de las anteriores,Ninguna de las anteriores,28,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3300000,Developer,5,"Docker, Linux","Java, Javascript","Next.js, React.js, Spring",MySQL,Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),3900000,Technical Leader,4,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes","Javascript, Python","Django, React.js","Amazon Redshift, Amazon RDS/Aurora, MongoDB, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,34,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4120000,SysAdmin / DevOps / SRE,10,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, OpenShift, OpenStack, Serverless",".NET, Bash/Shell, C#, Java, Python, SQL",Symfony,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, Apache Hive, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB",Ninguna de las anteriores,40,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,4950000,Technical Leader,16,"Amazon Web Services, Docker, Linux","Dart, Go, Java, Javascript, Kotlin, TypeScript","Flutter, Node.js, Spring","Amazon DynamoDB, Oracle",Postman,38,Hombre Cis,Senior
Misiones,Full-Time,Contractor,907500,Developer,3,Amazon Web Services,"Javascript, TypeScript","React.js, Vue.js",Ninguna de las anteriores,Ninguna de las anteriores,33,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1519952,BI Analyst / Data Analyst,17,"AIX, HP-UX","C, Java, Perl, SQL",Hadoop,"Microsoft SQL Server, MongoDB, MySQL, Oracle",Postman,44,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),1000000,Infosec,1,"Docker, Linux","Bash/Shell, HTML, Python, Ruby",Metasploit,PostgreSQL,Ninguna de las anteriores,26,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,7000000,Manager / Director,12,"Amazon Web Services, Arduino o similar, Azure, Docker, Google Cloud Platform, VMWare","Bash/Shell, C, C++, C#, CSS, Go, HTML, Java, Javascript, PHP, Python, SQL","Angular, Bootstrap, Flask, Flutter, Hibernate, jQuery, Next.js, Node.js, React.js, SwiftUI","MariaDB, Microsoft SQL Server, MongoDB, MySQL, Percona XtraBackup, PostgreSQL, Redis, SQLite","Jest, JUnit",37,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,2000000,Technical Leader,4,"Arduino o similar, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Microcontroladores, Serverless, Windows Server","Arduino, C, Go, Java, Javascript, Kotlin, SQL, TypeScript","Bootstrap, Hibernate, jQuery, Next.js, Node.js, React.js","Amazon DynamoDB, Cassandra, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis","Cypress, Jest, JUnit, Mocha, Postman, Puppeteer",25,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2050000,BI Analyst / Data Analyst,4,Ninguna de las anteriores,"CSS, HTML, Javascript, Python, R","jQuery, Tidyverse, tidymodels",Ninguna de las anteriores,Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),1518952,QA / Tester,5,Azure,".NET, SQL, PL/SQL",Spring,"MySQL, Oracle","SoapUI, POSTMAN",49,Mujer Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1600000,Infosec,15,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,51,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000,Developer,6,Docker,"CSS, HTML, Javascript, TypeScript",React.js,Ninguna de las anteriores,Ninguna de las anteriores,40,Mujer Cis,Senior
Salta,Full-Time,Contractor,700000,Technical Leader,5,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, VMWare, Windows Server","CSS, HTML, Javascript, Python, Ruby, SQL, TypeScript","Bootstrap, jQuery, Rails","PostgreSQL, Redis, SQLite",Manual,33,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),4937000,Data Scientist,10,"Amazon Web Services, Docker, Kubernetes, Linux, OpenShift","Java, Python, TypeScript","Spring, TensorFlow, Torch","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora","Cucumber, Postman",37,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000,Data Scientist,6,Linux,"C++, Python, R, julia",TensorFlow,Microsoft SQL Server,Ninguna de las anteriores,42,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3900000,Recruiter,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,43,Mujer Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),2715886,UX Researcher,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,31,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000,Manager / Director,10,Mainframe,Ninguno de los anteriores,Ninguno de los anteriores,IBM Db2,Ninguna de las anteriores,50,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1100000,Developer,3,Azure,Javascript,"React.js, React native ",Ninguna de las anteriores,Ninguna de las anteriores,23,Hombre Cis,Semi-Senior
Entre Ríos,Full-Time,Staff (planta permanente),2762372,QA / Tester,12,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,"Postman, Rally",36,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),4233700,Developer,8,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Java, Javascript, Python, SQL","Hibernate, Node.js, Spring","Amazon RDS/Aurora, PostgreSQL, Redis","JUnit, Postman",32,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),800000,Developer,3,"Azure, Salesforce","CSS, HTML, Javascript, Apex, Visualforce",Ninguno de los anteriores,Ninguna de las anteriores,Postman,26,Mujer Cis,Semi-Senior
Santa Fe,Full-Time,Contractor,850000,Developer,8,"Amazon Web Services, Docker, Linux","Javascript, SQL, TypeScript","Node.js, React.js","PostgreSQL, Redis",Ninguna de las anteriores,34,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),3200000,Consultant,7,"Amazon Web Services, Azure",".NET, C#, CSS, HTML, Javascript, TypeScript",".NET Core, Angular","Amazon DynamoDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Postman,40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,860000,Data Engineer,9,Linux,"ABAP, Arduino","Bootstrap, CodeIgniter","Aerospike, Amazon Redshift, Cassandra","HP LoadRunner, HP UFT, Karma",54,Mujer Cis,Senior
